2,,назва,,ціна долар,ціна грн.,,,ціна для продажу,Опт.,ціна для продажу 2 (50%),ціна для продажу 3 (45%),ціна для продажу 4 (30%),,,,,,,,,,
2,10047,"Оновлений роликовий важіль для Titan Aero Prusa i3 MK2 Ultimate, Artillery Sidewinder X2 X1 Genius Hornet Gear",,4,168,210,"289,8","268,128","235,2","241,3152",252,"283,122","284,445","85,15605",https://www.aliexpress.com/item/1005002806490839.html?spm=a2g0o.order_detail.order_detail_item.4.4ffcf19cVHjGlF,,,,,,,
5,10048,"Сопло для 3d принтера Flying Bear Ghost 6, 0,4 мм (1 шт.)",,"3,05","128,1","160,125","220,9725","204,4476","179,34","184,00284","192,15","215,880525","216,8893125","64,93148813",https://www.aliexpress.com/item/1005004988768568.html?spm=a2g0o.order_detail.order_detail_item.7.29f4f19cvbuC5F,,,,,,,
,10049,"нагрівальний блок CREALITY, для принтера Ender-3 S1 CR-10 Smart Pro, з екструдером Sprite",,6,252,315,"434,7","402,192","352,8","361,9728",378,"424,683","426,6675","127,734075",https://www.aliexpress.com/item/1005005277676150.html?spm=a2g0o.order_list.order_list_main.540.49bd1802F9hqiN,,,,,,,
9,10050,"Екструдер Ender 3 v2 з подвійним редуктором та покращеним валом двигуна 20 мм, для Ender 3 Pro серії CR10",,"4,77","200,34","250,425","345,5865","319,74264","280,476","287,768376","300,51","337,622985","339,2006625","101,5485896",https://www.aliexpress.com/item/1005005743316362.html?spm=a2g0o.order_list.order_list_main.465.49bd1802F9hqiN#nav-specification,"258,4",,,,,,
4,10051,Хотенд з радіатором для 3d принтера Ghost 4/4s/5 Parts Updated 24V 50w V5  + тефлонова требка,,"11,5",483,"603,75","833,175","770,868","676,2","693,7812","724,5","687,65","817,779375","244,8236438","29,93761536",https://www.aliexpress.com/item/1005001405511170.html?spm=a2g0o.order_detail.order_detail_item.4.2c21f19coQPf7y,,,,,,
2,10052,"Хотенд з радіатором для Anycubic Vyper, 24 В, нагрівач із силіконовим носком",,"7,5",315,"393,75","543,375","502,74",441,"452,466","472,5",2548,"533,334375","159,6675938",https://www.aliexpress.com/item/1005005490202109.html?spm=a2g0o.order_detail.order_detail_item.3.7bb1f19cC2m6y4,,,,,,,
,10053,"Металевий Екструдер для 3D-принтера Ender 3 CR10 з Пружинним Вирівнюванням,та Силіконовим носком  для блока J-head MK9",,"5,5",231,"288,75","398,475","368,676","323,4","331,8084","346,5","389,29275","391,111875","117,0895688",https://www.aliexpress.com/item/10000413758302.html?spm=a2g0o.order_detail.order_detail_item.5.7bb1f19cC2m6y4,,,,,,,
1,10054,Екструдер дірект з подвійною передачею та опорною пластиною для Ender3/Ender3 Pro/CR10/10S,,19,798,"997,5","1376,55","1273,608","1117,2","1146,2472",1197,"1344,8295","1351,11375","404,4912375",https://www.aliexpress.com/item/1005005806843617.html?spm=a2g0o.order_detail.order_detail_item.7.7bb1f19cC2m6y4,,,,,,,
1,10055,система охолодження для  3d принтера Ender-3 V2,,10,420,525,"724,5","670,32",588,"603,288",630,"707,805","711,1125","212,890125",https://www.aliexpress.com/item/1005005549607237.html?spm=a2g0o.order_detail.order_detail_item.9.7bb1f19cC2m6y4,,,,,,,
,10056,Creality Ender 3 V2 Full Hotend Kit Strong Wear Resisting Stable Printing Print freely for Ender-3 V2 3D Printer Parts Original,,"10,44","438,48","548,1","756,378","699,81408","613,872","629,832672","657,72","738,94842","742,40145","222,2572905",https://www.aliexpress.com/item/1005005591794481.html?spm=a2g0o.order_detail.order_detail_item.3.fc5ef19cFHhgeN,,,,,,,
